Entry	Entry Name	Protein names	Gene Names	GO
P01615	KVD28_HUMAN	Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)	IGKV2D-28	immune response [GO:0006955]
A0A075B6S2	KVD29_HUMAN	Immunoglobulin kappa variable 2D-29	IGKV2D-29	immune response [GO:0006955]
P01614	KVD40_HUMAN	Immunoglobulin kappa variable 2D-40 (Ig kappa chain V-II region Cum)	IGKV2D-40	immune response [GO:0006955]
P04433	KV311_HUMAN	Immunoglobulin kappa variable 3-11 (Ig kappa chain V-III region VG)	IGKV3-11	immune response [GO:0006955]
P01619	KV320_HUMAN	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)	IGKV3-20	immune response [GO:0006955]
A0A075B6H7	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	immune response [GO:0006955]
A0A087WSY6	KVD15_HUMAN	Immunoglobulin kappa variable 3D-15	IGKV3D-15	immune response [GO:0006955]
A0A0C4DH25	KVD20_HUMAN	Immunoglobulin kappa variable 3D-20	IGKV3D-20	immune response [GO:0006955]
P06312	KV401_HUMAN	Immunoglobulin kappa variable 4-1 (Ig kappa chain V-IV region B17) (Ig kappa chain V-IV region JI) (Ig kappa chain V-IV region Len) (Ig kappa chain V-IV region STH)	IGKV4-1	immune response [GO:0006955]
A0A0C4DH24	KV621_HUMAN	Immunoglobulin kappa variable 6-21	IGKV6-21	immune response [GO:0006955]
P0DOY2	IGLC2_HUMAN	Immunoglobulin lambda constant 2 (Ig lambda chain C region Kern) (Ig lambda chain C region NIG-64) (Ig lambda chain C region SH) (Ig lambda chain C region X) (Ig lambda-2 chain C region)	IGLC2	immunoglobulin mediated immune response [GO:0016064]
P0DOY2;P0DOY3	IGLC2_HUMAN; IGLC3_HUMAN; IGLC3_HUMAN; IGLC3_HUMAN	Immunoglobulin lambda constant 2 (Ig lambda chain C region Kern) (Ig lambda chain C region NIG-64) (Ig lambda chain C region SH) (Ig lambda chain C region X) (Ig lambda-2 chain C region); Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions); Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions); Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions)	IGLC2; IGLC3; IGLC3; IGLC3	adaptive immune response [GO:0002250]
P0DOY3	IGLC3_HUMAN	Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions)	IGLC3	adaptive immune response [GO:0002250]
A0M8Q6	IGLC7_HUMAN	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)	IGLC7	adaptive immune response [GO:0002250]
B9A064	IGLL5_HUMAN	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	IGLL5	immunoglobulin mediated immune response [GO:0016064]
A6NGN9	IGLO5_HUMAN	IgLON family member 5	IGLON5	other
P01700	LV147_HUMAN	Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH)	IGLV1-47	immune response [GO:0006955]
P01701	LV151_HUMAN	Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64)	IGLV1-51	immune response [GO:0006955]
A0A075B6J9	LV218_HUMAN	Immunoglobulin lambda variable 2-18	IGLV2-18	immune response [GO:0006955]
P01709	LV208_HUMAN	Immunoglobulin lambda variable 2-8 (Ig lambda chain V-II region BO) (Ig lambda chain V-II region MGC)	IGLV2-8	immune response [GO:0006955]
A0A075B6K4	LV310_HUMAN	Immunoglobulin lambda variable 3-10	IGLV3-10	immune response [GO:0006955]
A0A075B6K0	LV316_HUMAN	Immunoglobulin lambda variable 3-16	IGLV3-16	immune response [GO:0006955]
P01714	LV319_HUMAN	Immunoglobulin lambda variable 3-19 (Ig lambda chain V-III region SH)	IGLV3-19	immune response [GO:0006955]
P80748	LV321_HUMAN	Immunoglobulin lambda variable 3-21 (Ig lambda chain V-III region LOI) (Ig lambda chain V-V region DEL) (Ig lambda chain V-VII region MOT)	IGLV3-21	immune response [GO:0006955]
P01717	LV325_HUMAN	Immunoglobulin lambda variable 3-25 (Ig lambda chain V-IV region Hil)	IGLV3-25	immune response [GO:0006955]
A0A075B6K5	LV39_HUMAN	Immunoglobulin lambda variable 3-9	IGLV3-9	immune response [GO:0006955]
A0A0G2JSC0	A0A0G2JSC0_HUMAN	Immunoglobulin lambda variable 5-45	IGLV5-45	other
A0A075B6I9	LV746_HUMAN	Immunoglobulin lambda variable 7-46	IGLV7-46	immune response [GO:0006955]
A0A075B6I0	LV861_HUMAN	Immunoglobulin lambda variable 8-61	IGLV8-61	immune response [GO:0006955]
A0A0B4J1Y8	LV949_HUMAN	Immunoglobulin lambda variable 9-49	IGLV9-49	immune response [GO:0006955]
Q96ID5	IGS21_HUMAN	Immunoglobulin superfamily member 21 (IgSF21)	IGSF21	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Q969P0	IGSF8_HUMAN	Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocytes-associated transmembrane protein 4) (KCT-4) (LIR-D1) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316)	IGSF8 CD81P3 EWI2 KCT4	nervous system development [GO:0007399]
P40189	IL6RB_HUMAN	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	IL6ST	positive regulation of cell population proliferation [GO:0008284]
O14498	ISLR_HUMAN	Immunoglobulin superfamily containing leucine-rich repeat protein	ISLR UNQ189/PRO215	cell adhesion [GO:0007155]
P19827	ITIH1_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH1 IGHEP1	other
P19823	ITIH2_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH2 IGHEP2	other
Q06033	ITIH3_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH3	other
Q14624	ITIH4_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4) (Inter-alpha-trypsin inhibitor family heavy chain-related protein) (IHRP) (Plasma kallikrein sensitive glycoprotein 120) (Gp120) (PK-120) [Cleaved into: 70 kDa inter-alpha-trypsin inhibitor heavy chain H4; 35 kDa inter-alpha-trypsin inhibitor heavy chain H4]	ITIH4 IHRP ITIHL1 PK120 PRO1851	acute-phase response [GO:0006953]
Q86UX2	ITIH5_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H5 (ITI heavy chain H5) (ITI-HC5) (Inter-alpha-inhibitor heavy chain 5)	ITIH5 KIAA1953 PP14776 UNQ311/PRO354	other
Q9BX67	JAM3_HUMAN	Junctional adhesion molecule C (JAM-C) (JAM-2) (Junctional adhesion molecule 3) (JAM-3) [Cleaved into: Soluble form of JAM-C (sJAM-C)]	JAM3 UNQ859/PRO1868	adaptive immune response [GO:0002250]
P01591	IGJ_HUMAN	Immunoglobulin J chain (Joining chain of multimeric IgA and IgM)	JCHAIN IGCJ IGJ	immune response [GO:0006955]
H0YDE5	H0YDE5_HUMAN	KIAA1549 like	KIAA1549L	other
P10721	KIT_HUMAN	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	KIT SCFR	signal transduction [GO:0007165]
Q92876	KLK6_HUMAN	Kallikrein-6 (EC 3.4.21.-) (Neurosin) (Protease M) (SP59) (Serine protease 18) (Serine protease 9) (Zyme)	KLK6 PRSS18 PRSS9	central nervous system development [GO:0007417]
P03952	KLKB1_HUMAN	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	KLKB1 KLK3	proteolysis [GO:0006508]
P01042	KNG1_HUMAN	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	KNG1 BDK KNG	inflammatory response [GO:0006954]
P32004	L1CAM_HUMAN	Neural cell adhesion molecule L1 (N-CAM-L1) (NCAM-L1) (CD antigen CD171)	L1CAM CAML1 MIC5	cell adhesion [GO:0007155]
P24043	LAMA2_HUMAN	Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain)	LAMA2 LAMM	cell adhesion [GO:0007155]
P55268	LAMB2_HUMAN	Laminin subunit beta-2 (Laminin B1s chain) (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta)	LAMB2 LAMS	cell adhesion [GO:0007155]
P11047	LAMC1_HUMAN	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	LAMC1 LAMB2	cell adhesion [GO:0007155]
P11279	LAMP1_HUMAN	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	LAMP1	protein stabilization [GO:0050821]
P13473	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	protein stabilization [GO:0050821]
P18428	LBP_HUMAN	Lipopolysaccharide-binding protein (LBP)	LBP	innate immune response [GO:0045087]
P04180	LCAT_HUMAN	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	LCAT	cholesterol metabolic process [GO:0008203]
P80188	NGAL_HUMAN	Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin) (p25)	LCN2 HNL NGAL	innate immune response [GO:0045087]
P13796	PLSL_HUMAN	Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1) (LCP-1)	LCP1 PLS2	cell migration [GO:0016477]
P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	other
P07195	LDHB_HUMAN	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	LDHB	other
P09382	LEG1_HUMAN	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	cell-cell adhesion [GO:0098609]
Q08380	LG3BP_HUMAN	Galectin-3-binding protein (Basement membrane autoantigen p105) (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein) (MAC2BP) (Mac-2 BP) (Tumor-associated antigen 90K)	LGALS3BP M2BP	cell adhesion [GO:0007155]
Q96FE5	LIGO1_HUMAN	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 (Leucine-rich repeat and immunoglobulin domain-containing protein 1) (Leucine-rich repeat neuronal protein 1) (Leucine-rich repeat neuronal protein 6A)	LINGO1 LERN1 LRRN6A UNQ201/PRO227	other
Q12907	LMAN2_HUMAN	Vesicular integral-membrane protein VIP36 (Glycoprotein GP36b) (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36) (VIP36)	LMAN2 C5orf8	other
P02750	A2GL_HUMAN	Leucine-rich alpha-2-glycoprotein (LRG)	LRG1 LRG	other
Q07954	LRP1_HUMAN	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	LRP1 A2MR APR	lipid metabolic process [GO:0006629]
Q9NT99	LRC4B_HUMAN	Leucine-rich repeat-containing protein 4B (Netrin-G3 ligand) (NGL-3)	LRRC4B LRIG4	positive regulation of synapse assembly [GO:0051965]
Q13449	LSAMP_HUMAN	Limbic system-associated membrane protein (LSAMP) (IgLON family member 3)	LSAMP IGLON3 LAMP	cell adhesion [GO:0007155]
Q86X29	LSR_HUMAN	Lipolysis-stimulated lipoprotein receptor (Angulin-1)	LSR ILDR3 LISCH	other
P51884	LUM_HUMAN	Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican)	LUM LDC SLRR2D	positive regulation of transcription by RNA polymerase II [GO:0045944]
P0DP58	LYNX1_HUMAN	Ly-6/neurotoxin-like protein 1 (Endogenous prototoxin LYNX1) (Testicular tissue protein Li 112)	LYNX1	other
Q9Y5Y7	LYVE1_HUMAN	Lymphatic vessel endothelial hyaluronic acid receptor 1 (LYVE-1) (Cell surface retention sequence-binding protein 1) (CRSBP-1) (Extracellular link domain-containing protein 1) (Hyaluronic acid receptor)	LYVE1 CRSBP1 HAR XLKD1 UNQ230/PRO263	cell-matrix adhesion [GO:0007160]
P61626	LYSC_HUMAN	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ LZM	inflammatory response [GO:0006954]
P20916	MAG_HUMAN	Myelin-associated glycoprotein (Siglec-4a)	MAG GMA	cell adhesion [GO:0007155]
P33908	MA1A1_HUMAN	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA (EC 3.2.1.113) (Man(9)-alpha-mannosidase) (Man9-mannosidase) (Mannosidase alpha class 1A member 1) (Processing alpha-1,2-mannosidase IA) (Alpha-1,2-mannosidase IA)	MAN1A1	carbohydrate metabolic process [GO:0005975]
Q9NR34	MA1C1_HUMAN	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC (EC 3.2.1.113) (HMIC) (Mannosidase alpha class 1C member 1) (Processing alpha-1,2-mannosidase IC) (Alpha-1,2-mannosidase IC)	MAN1C1 MAN1A3 MAN1C	carbohydrate metabolic process [GO:0005975]
P49641	MA2A2_HUMAN	Alpha-mannosidase 2x (EC 3.2.1.114) (Alpha-mannosidase IIx) (Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	MAN2A2 MANA2X	other
O00462	MANBA_HUMAN	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	MANBA MANB1	other
Q9H8J5	MANS1_HUMAN	MANSC domain-containing protein 1 (Loss of heterozygosity 12 chromosomal region 3 protein)	MANSC1 LOH12CR3 UNQ316/PRO361	other
P29966	MARCS_HUMAN	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)	MARCKS MACS PRKCSL	central nervous system development [GO:0007417]
P43121	MUC18_HUMAN	Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)	MCAM MUC18	cell adhesion [GO:0007155]
P40925	MDHC_HUMAN	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (EC 1.1.1.96) (Cytosolic malate dehydrogenase)	MDH1 MDHA	other
Q7Z7M0	MEGF8_HUMAN	Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4)	MEGF8 C19orf49 EGFL4 KIAA0817	other
P26572	MGAT1_HUMAN	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)	MGAT1 GGNT1 GLCT1 GLYT1 MGAT	other
Q16674	MIA_HUMAN	Melanoma-derived growth regulatory protein (Melanoma inhibitory activity protein)	MIA	extracellular matrix organization [GO:0030198]
Q5JRA6	TGO1_HUMAN	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)	MIA3 KIAA0268 TANGO UNQ6077/PRO20088	negative regulation of cell adhesion [GO:0007162]
Q9UNW1	MINP1_HUMAN	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80)	MINPP1 MIPP UNQ900/PRO1917	ossification [GO:0001503]
Q14165	MLEC_HUMAN	Malectin	MLEC KIAA0152	other
P08253	MMP2_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	proteolysis [GO:0006508]
Q16653	MOG_HUMAN	Myelin-oligodendrocyte glycoprotein	MOG	cell adhesion [GO:0007155]
P22897	MRC1_HUMAN	Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)	MRC1 CLEC13D CLEC13DL MRC1L1	other
Q9UBG0	MRC2_HUMAN	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)	MRC2 CLEC13E ENDO180 KIAA0709 UPARAP	other
P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	MSN	positive regulation of gene expression [GO:0010628]
P26927	HGFL_HUMAN	Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein) (MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain]	MST1 D3F15S2 DNF15S2 HGFL	proteolysis [GO:0006508]
P54802	ANAG_HUMAN	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form]	NAGLU UFHSD1	nervous system development [GO:0007399]
H7BYX6	H7BYX6_HUMAN	Neural cell adhesion molecule 1	NCAM1	cell adhesion [GO:0007155]
P13591	NCAM1_HUMAN	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)	NCAM1 NCAM	cell adhesion [GO:0007155]
O15394	NCAM2_HUMAN	Neural cell adhesion molecule 2 (N-CAM-2) (NCAM-2)	NCAM2 NCAM21	other
O14594	NCAN_HUMAN	Neurocan core protein (Chondroitin sulfate proteoglycan 3)	NCAN CSPG3 NEUR	cell adhesion [GO:0007155]
Q92542	NICA_HUMAN	Nicastrin	NCSTN KIAA0253 UNQ1874/PRO4317	proteolysis [GO:0006508]
Q9UN36	NDRG2_HUMAN	Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Syld709613)	NDRG2 KIAA1248 SYLD	signal transduction [GO:0007165]
Q15223	NECT1_HUMAN	Nectin-1 (Herpes virus entry mediator C) (Herpesvirus entry mediator C) (HveC) (Herpesvirus Ig-like receptor) (HIgR) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1) (CD antigen CD111)	NECTIN1 HVEC PRR1 PVRL1	cell adhesion [GO:0007155]
Q7Z3B1	NEGR1_HUMAN	Neuronal growth regulator 1 (IgLON family member 4)	NEGR1 IGLON4 UNQ2433/PRO4993	cell-cell adhesion [GO:0098609]
Q99435	NELL2_HUMAN	Protein kinase C-binding protein NELL2 (NEL-like protein 2) (Nel-related protein 2)	NELL2 NRP2	other
Q92859	NEO1_HUMAN	Neogenin (Immunoglobulin superfamily DCC subclass member 2)	NEO1 IGDCC2 NGN	cell adhesion [GO:0007155]
X6RKN2	X6RKN2_HUMAN	Neurofascin	NFASC	cell adhesion [GO:0007155]
P14543	NID1_HUMAN	Nidogen-1 (NID-1) (Entactin)	NID1 NID	cell-matrix adhesion [GO:0007160]
Q14112	NID2_HUMAN	Nidogen-2 (NID-2) (Osteonidogen)	NID2	cell adhesion [GO:0007155]
Q8NFZ4	NLGN2_HUMAN	Neuroligin-2	NLGN2 KIAA1366	positive regulation of cell population proliferation [GO:0008284]
P61916	NPC2_HUMAN	NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein)	NPC2 HE1	gene expression [GO:0010467]
Q5SPY9	Q5SPY9_HUMAN	Neural proliferation, differentiation and control 1	NPDC1	other
P23582	ANFC_HUMAN	C-type natriuretic peptide [Cleaved into: CNP-22; CNP-29; CNP-53]	NPPC CNP2	angiogenesis [GO:0001525]
Q15818	NPTX1_HUMAN	Neuronal pentraxin-1 (NP1) (Neuronal pentraxin I) (NP-I)	NPTX1	central nervous system development [GO:0007417]
P47972	NPTX2_HUMAN	Neuronal pentraxin-2 (NP2) (Neuronal pentraxin II) (NP-II)	NPTX2	other
O95502	NPTXR_HUMAN	Neuronal pentraxin receptor	NPTXR	other
Q92823	NRCAM_HUMAN	Neuronal cell adhesion molecule (Nr-CAM) (Neuronal surface protein Bravo) (hBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related)	NRCAM KIAA0343	axon guidance [GO:0007411]
Q9NPD7	NRN1_HUMAN	Neuritin	NRN1 NRN	other
O14786	NRP1_HUMAN	Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	NRP1 NRP VEGF165R	signal transduction [GO:0007165]
O60462	NRP2_HUMAN	Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2)	NRP2 VEGF165R2	cell adhesion [GO:0007155]
E7ERL8	E7ERL8_HUMAN	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	NRXN1	positive regulation of synapse assembly [GO:0051965]
A0A0R4J2G7;A0A1D5RMU6;E7ERL8	A0A0R4J2G7_HUMAN; A0A1D5RMU6_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN; E7ERL8_HUMAN	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha); Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1; NRXN1	positive regulation of synapse assembly [GO:0051965]
Q9P2S2	NRX2A_HUMAN	Neurexin-2 (Neurexin II-alpha) (Neurexin-2-alpha)	NRXN2 KIAA0921	signal transduction [GO:0007165]
Q9Y4C0	NRX3A_HUMAN	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)	NRXN3 C14orf60 KIAA0743	axon guidance [GO:0007411]
P42857	NSG1_HUMAN	Neuronal vesicle trafficking-associated protein 1 (Neuron-enriched endosomal protein of 21 kDa) (Neuron-specific protein family member 1)	NSG1 D4S234 NEEP21	apoptotic process [GO:0006915]
B7Z1Z5	B7Z1Z5_HUMAN	Neurotrimin	NTM	other
Q02818	NUCB1_HUMAN	Nucleobindin-1 (CALNUC)	NUCB1 NUC	other
Q86UD1	OAF_HUMAN	Out at first protein homolog (HCV NS5A-transactivated protein 13 target protein 2)	OAF NS5ATP13TP2	other
